DT,TBL_NM,PRD_SE,PRD_DE,C1,C1_NM,ITM_NM,TBL_ID,ITM_ID,ORG_ID,C1_OBJ_NM
106.5,주택시장 소비심리지수,M,2012-03-01,K0203,서울특별시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
107.4,주택시장 소비심리지수,M,2012-03-01,K0204,인천광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
107.4,주택시장 소비심리지수,M,2012-03-01,K0205,경기도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
121.9,주택시장 소비심리지수,M,2012-03-01,K06,비수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
117.2,주택시장 소비심리지수,M,2012-03-01,K0607,부산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
127.2,주택시장 소비심리지수,M,2012-03-01,K0608,대구광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
127.7,주택시장 소비심리지수,M,2012-03-01,K0609,광주광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
98.4,주택시장 소비심리지수,M,2012-03-01,K0610,대전광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
135.0,주택시장 소비심리지수,M,2012-03-01,K0611,울산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
127.1,주택시장 소비심리지수,M,2012-03-01,K0612,강원도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
128.3,주택시장 소비심리지수,M,2012-03-01,K0613,충청북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
129.8,주택시장 소비심리지수,M,2012-03-01,K0614,충청남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
115.6,주택시장 소비심리지수,M,2012-03-01,K0615,전라북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
125.0,주택시장 소비심리지수,M,2012-03-01,K0616,전라남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
127.4,주택시장 소비심리지수,M,2012-03-01,K0617,경상북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
115.4,주택시장 소비심리지수,M,2012-03-01,K0618,경상남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
112.8,주택시장 소비심리지수,M,2012-04-01,K01,전국,주택시장소비심리지수,DT_39002_02,T1,390,시도별
106.6,주택시장 소비심리지수,M,2012-04-01,K02,수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
105.9,주택시장 소비심리지수,M,2012-04-01,K0203,서울특별시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
105.7,주택시장 소비심리지수,M,2012-04-01,K0204,인천광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
107.1,주택시장 소비심리지수,M,2012-04-01,K0205,경기도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
120.5,주택시장 소비심리지수,M,2012-04-01,K06,비수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
113.8,주택시장 소비심리지수,M,2012-04-01,K0607,부산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
125.8,주택시장 소비심리지수,M,2012-04-01,K0608,대구광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
127.4,주택시장 소비심리지수,M,2012-04-01,K0609,광주광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
94.8,주택시장 소비심리지수,M,2012-04-01,K0610,대전광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
141.5,주택시장 소비심리지수,M,2012-04-01,K0611,울산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
124.5,주택시장 소비심리지수,M,2012-04-01,K0612,강원도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
128.5,주택시장 소비심리지수,M,2012-04-01,K0613,충청북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
130.9,주택시장 소비심리지수,M,2012-04-01,K0614,충청남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
113.6,주택시장 소비심리지수,M,2012-04-01,K0615,전라북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
124.3,주택시장 소비심리지수,M,2012-04-01,K0616,전라남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
129.4,주택시장 소비심리지수,M,2012-04-01,K0617,경상북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
109.4,주택시장 소비심리지수,M,2012-04-01,K0618,경상남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
111.7,주택시장 소비심리지수,M,2012-05-01,K01,전국,주택시장소비심리지수,DT_39002_02,T1,390,시도별
106.4,주택시장 소비심리지수,M,2012-05-01,K02,수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
106.7,주택시장 소비심리지수,M,2012-05-01,K0203,서울특별시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
102.3,주택시장 소비심리지수,M,2012-05-01,K0204,인천광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
107.1,주택시장 소비심리지수,M,2012-05-01,K0205,경기도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
118.3,주택시장 소비심리지수,M,2012-05-01,K06,비수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
111.9,주택시장 소비심리지수,M,2012-05-01,K0607,부산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
125.7,주택시장 소비심리지수,M,2012-05-01,K0608,대구광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
122.6,주택시장 소비심리지수,M,2012-05-01,K0609,광주광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
99.1,주택시장 소비심리지수,M,2012-05-01,K0610,대전광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
129.0,주택시장 소비심리지수,M,2012-05-01,K0611,울산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
120.4,주택시장 소비심리지수,M,2012-05-01,K0612,강원도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
126.3,주택시장 소비심리지수,M,2012-05-01,K0613,충청북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
131.0,주택시장 소비심리지수,M,2012-05-01,K0614,충청남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
106.8,주택시장 소비심리지수,M,2012-05-01,K0615,전라북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
122.0,주택시장 소비심리지수,M,2012-05-01,K0616,전라남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
129.5,주택시장 소비심리지수,M,2012-05-01,K0617,경상북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
108.4,주택시장 소비심리지수,M,2012-05-01,K0618,경상남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
100.4,주택시장 소비심리지수,M,2012-06-01,K01,전국,주택시장소비심리지수,DT_39002_02,T1,390,시도별
94.2,주택시장 소비심리지수,M,2012-06-01,K02,수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
93.7,주택시장 소비심리지수,M,2012-06-01,K0203,서울특별시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
91.8,주택시장 소비심리지수,M,2012-06-01,K0204,인천광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
95.0,주택시장 소비심리지수,M,2012-06-01,K0205,경기도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
108.1,주택시장 소비심리지수,M,2012-06-01,K06,비수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
100.7,주택시장 소비심리지수,M,2012-06-01,K0607,부산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
117.1,주택시장 소비심리지수,M,2012-06-01,K0608,대구광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
114.2,주택시장 소비심리지수,M,2012-06-01,K0609,광주광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
94.5,주택시장 소비심리지수,M,2012-06-01,K0610,대전광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
111.1,주택시장 소비심리지수,M,2012-06-01,K0611,울산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
111.8,주택시장 소비심리지수,M,2012-06-01,K0612,강원도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
114.3,주택시장 소비심리지수,M,2012-06-01,K0613,충청북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
121.4,주택시장 소비심리지수,M,2012-06-01,K0614,충청남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
100.4,주택시장 소비심리지수,M,2012-06-01,K0615,전라북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
107.4,주택시장 소비심리지수,M,2012-06-01,K0616,전라남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
118.7,주택시장 소비심리지수,M,2012-06-01,K0617,경상북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
100.4,주택시장 소비심리지수,M,2012-06-01,K0618,경상남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
102.5,주택시장 소비심리지수,M,2012-07-01,K01,전국,주택시장소비심리지수,DT_39002_02,T1,390,시도별
97.8,주택시장 소비심리지수,M,2012-07-01,K02,수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
97.9,주택시장 소비심리지수,M,2012-07-01,K0203,서울특별시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
92.7,주택시장 소비심리지수,M,2012-07-01,K0204,인천광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
98.7,주택시장 소비심리지수,M,2012-07-01,K0205,경기도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
108.3,주택시장 소비심리지수,M,2012-07-01,K06,비수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
101.6,주택시장 소비심리지수,M,2012-07-01,K0607,부산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
118.1,주택시장 소비심리지수,M,2012-07-01,K0608,대구광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
118.7,주택시장 소비심리지수,M,2012-07-01,K0609,광주광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
91.4,주택시장 소비심리지수,M,2012-07-01,K0610,대전광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
110.6,주택시장 소비심리지수,M,2012-07-01,K0611,울산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
114.7,주택시장 소비심리지수,M,2012-07-01,K0612,강원도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
115.7,주택시장 소비심리지수,M,2012-07-01,K0613,충청북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
116.6,주택시장 소비심리지수,M,2012-07-01,K0614,충청남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
99.3,주택시장 소비심리지수,M,2012-07-01,K0615,전라북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
105.0,주택시장 소비심리지수,M,2012-07-01,K0616,전라남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
118.4,주택시장 소비심리지수,M,2012-07-01,K0617,경상북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
102.0,주택시장 소비심리지수,M,2012-07-01,K0618,경상남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
107.3,주택시장 소비심리지수,M,2012-08-01,K01,전국,주택시장소비심리지수,DT_39002_02,T1,390,시도별
103.2,주택시장 소비심리지수,M,2012-08-01,K02,수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
104.5,주택시장 소비심리지수,M,2012-08-01,K0203,서울특별시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
95.8,주택시장 소비심리지수,M,2012-08-01,K0204,인천광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
104.0,주택시장 소비심리지수,M,2012-08-01,K0205,경기도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
112.1,주택시장 소비심리지수,M,2012-08-01,K06,비수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
103.1,주택시장 소비심리지수,M,2012-08-01,K0607,부산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
124.3,주택시장 소비심리지수,M,2012-08-01,K0608,대구광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
121.2,주택시장 소비심리지수,M,2012-08-01,K0609,광주광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
99.6,주택시장 소비심리지수,M,2012-08-01,K0610,대전광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
113.3,주택시장 소비심리지수,M,2012-08-01,K0611,울산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
119.0,주택시장 소비심리지수,M,2012-08-01,K0612,강원도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
118.8,주택시장 소비심리지수,M,2012-08-01,K0613,충청북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
123.7,주택시장 소비심리지수,M,2012-08-01,K0614,충청남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
102.2,주택시장 소비심리지수,M,2012-08-01,K0615,전라북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
107.7,주택시장 소비심리지수,M,2012-08-01,K0616,전라남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
124.8,주택시장 소비심리지수,M,2012-08-01,K0617,경상북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
104.6,주택시장 소비심리지수,M,2012-08-01,K0618,경상남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
111.5,주택시장 소비심리지수,M,2012-09-01,K01,전국,주택시장소비심리지수,DT_39002_02,T1,390,시도별
108.3,주택시장 소비심리지수,M,2012-09-01,K02,수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
108.8,주택시장 소비심리지수,M,2012-09-01,K0203,서울특별시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
102.9,주택시장 소비심리지수,M,2012-09-01,K0204,인천광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
109.2,주택시장 소비심리지수,M,2012-09-01,K0205,경기도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
115.4,주택시장 소비심리지수,M,2012-09-01,K06,비수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
108.1,주택시장 소비심리지수,M,2012-09-01,K0607,부산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
127.7,주택시장 소비심리지수,M,2012-09-01,K0608,대구광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
116.8,주택시장 소비심리지수,M,2012-09-01,K0609,광주광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
107.8,주택시장 소비심리지수,M,2012-09-01,K0610,대전광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
114.3,주택시장 소비심리지수,M,2012-09-01,K0611,울산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
123.7,주택시장 소비심리지수,M,2012-09-01,K0612,강원도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
119.8,주택시장 소비심리지수,M,2012-09-01,K0613,충청북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
128.9,주택시장 소비심리지수,M,2012-09-01,K0614,충청남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
100.1,주택시장 소비심리지수,M,2012-09-01,K0615,전라북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
115.8,주택시장 소비심리지수,M,2012-09-01,K0616,전라남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
126.5,주택시장 소비심리지수,M,2012-09-01,K0617,경상북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
108.3,주택시장 소비심리지수,M,2012-09-01,K0618,경상남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
113.9,주택시장 소비심리지수,M,2012-10-01,K01,전국,주택시장소비심리지수,DT_39002_02,T1,390,시도별
110.6,주택시장 소비심리지수,M,2012-10-01,K02,수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
112.3,주택시장 소비심리지수,M,2012-10-01,K0203,서울특별시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
103.8,주택시장 소비심리지수,M,2012-10-01,K0204,인천광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
111.0,주택시장 소비심리지수,M,2012-10-01,K0205,경기도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
118.0,주택시장 소비심리지수,M,2012-10-01,K06,비수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
110.8,주택시장 소비심리지수,M,2012-10-01,K0607,부산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
132.7,주택시장 소비심리지수,M,2012-10-01,K0608,대구광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
118.4,주택시장 소비심리지수,M,2012-10-01,K0609,광주광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
113.3,주택시장 소비심리지수,M,2012-10-01,K0610,대전광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
122.4,주택시장 소비심리지수,M,2012-10-01,K0611,울산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
125.8,주택시장 소비심리지수,M,2012-10-01,K0612,강원도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
123.4,주택시장 소비심리지수,M,2012-10-01,K0613,충청북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
131.5,주택시장 소비심리지수,M,2012-10-01,K0614,충청남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
100.6,주택시장 소비심리지수,M,2012-10-01,K0615,전라북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
110.2,주택시장 소비심리지수,M,2012-10-01,K0616,전라남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
128.3,주택시장 소비심리지수,M,2012-10-01,K0617,경상북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
110.0,주택시장 소비심리지수,M,2012-10-01,K0618,경상남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
108.2,주택시장 소비심리지수,M,2012-11-01,K01,전국,주택시장소비심리지수,DT_39002_02,T1,390,시도별
104.1,주택시장 소비심리지수,M,2012-11-01,K02,수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
106.3,주택시장 소비심리지수,M,2012-11-01,K0203,서울특별시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
99.1,주택시장 소비심리지수,M,2012-11-01,K0204,인천광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
103.8,주택시장 소비심리지수,M,2012-11-01,K0205,경기도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
113.4,주택시장 소비심리지수,M,2012-11-01,K06,비수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
104.1,주택시장 소비심리지수,M,2012-11-01,K0607,부산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
127.8,주택시장 소비심리지수,M,2012-11-01,K0608,대구광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
119.3,주택시장 소비심리지수,M,2012-11-01,K0609,광주광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
107.6,주택시장 소비심리지수,M,2012-11-01,K0610,대전광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
113.0,주택시장 소비심리지수,M,2012-11-01,K0611,울산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
119.0,주택시장 소비심리지수,M,2012-11-01,K0612,강원도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
120.2,주택시장 소비심리지수,M,2012-11-01,K0613,충청북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
127.4,주택시장 소비심리지수,M,2012-11-01,K0614,충청남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
99.0,주택시장 소비심리지수,M,2012-11-01,K0615,전라북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
107.1,주택시장 소비심리지수,M,2012-11-01,K0616,전라남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
124.7,주택시장 소비심리지수,M,2012-11-01,K0617,경상북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
106.2,주택시장 소비심리지수,M,2012-11-01,K0618,경상남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
105.2,주택시장 소비심리지수,M,2012-12-01,K01,전국,주택시장소비심리지수,DT_39002_02,T1,390,시도별
101.4,주택시장 소비심리지수,M,2012-12-01,K02,수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
104.2,주택시장 소비심리지수,M,2012-12-01,K0203,서울특별시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
97.8,주택시장 소비심리지수,M,2012-12-01,K0204,인천광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
100.5,주택시장 소비심리지수,M,2012-12-01,K0205,경기도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
109.8,주택시장 소비심리지수,M,2012-12-01,K06,비수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
102.3,주택시장 소비심리지수,M,2012-12-01,K0607,부산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
122.2,주택시장 소비심리지수,M,2012-12-01,K0608,대구광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
117.1,주택시장 소비심리지수,M,2012-12-01,K0609,광주광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
104.7,주택시장 소비심리지수,M,2012-12-01,K0610,대전광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
108.5,주택시장 소비심리지수,M,2012-12-01,K0611,울산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
111.3,주택시장 소비심리지수,M,2012-12-01,K0612,강원도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
111.7,주택시장 소비심리지수,M,2012-12-01,K0613,충청북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
119.2,주택시장 소비심리지수,M,2012-12-01,K0614,충청남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
97.8,주택시장 소비심리지수,M,2012-12-01,K0615,전라북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
106.4,주택시장 소비심리지수,M,2012-12-01,K0616,전라남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
120.0,주택시장 소비심리지수,M,2012-12-01,K0617,경상북도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
106.7,주택시장 소비심리지수,M,2012-12-01,K0618,경상남도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
112.3,주택시장 소비심리지수,M,2013-01-01,K01,전국,주택시장소비심리지수,DT_39002_02,T1,390,시도별
109.8,주택시장 소비심리지수,M,2013-01-01,K02,수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
114.2,주택시장 소비심리지수,M,2013-01-01,K0203,서울특별시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
104.8,주택시장 소비심리지수,M,2013-01-01,K0204,인천광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
108.4,주택시장 소비심리지수,M,2013-01-01,K0205,경기도,주택시장소비심리지수,DT_39002_02,T1,390,시도별
115.1,주택시장 소비심리지수,M,2013-01-01,K06,비수도권,주택시장소비심리지수,DT_39002_02,T1,390,시도별
105.1,주택시장 소비심리지수,M,2013-01-01,K0607,부산광역시,주택시장소비심리지수,DT_39002_02,T1,390,시도별
